Username,Date Joined 
Grenada,Not Taken
Guadeloupe,Not Taken
Guam,Not Taken
Guatemala,Not Taken
Guyana,Not Taken
Haiti,Not Taken
Vatican,Not Taken
Honduras,Not Taken
HongKong,Not Taken
Hungary,Not Taken
Indonesia,Not Taken
Kiribati,Not Taken
NorthKorea,Not Taken
SouthKorea,Not Taken
Kuwait,Not Taken
Kyrgyzstan,Not Taken
Lesotho,Not Taken
Liechtenstein,Not Taken
Luxembourg,Not Taken
NorthernMacedonia,Not Taken
Malawi,Not Taken
Malta,Not Taken
MarshallIslands,Not Taken
Mayotte,Not Taken
Mexico,Not Taken
Micronesia,Not Taken
Moldova,Not Taken
Mongolia,Not Taken
Mozambique,Not Taken
Myanmar,Not Taken
Nauru,Not Taken
Netherlands,Not Taken
NewCaledonia,Not Taken
Niger,Not Taken
Niue,Not Taken
NorfolkIsland,Not Taken
NorthernMarianaIslands,Not Taken
Palestine,Not Taken
PapuaNewGuinea,Not Taken
Paraguay,Not Taken
Pitcairn,Not Taken
Poland,Not Taken
Romania,Not Taken
Russia,Not Taken
SaintKittsandNevis,Not Taken
SaintLucia,Not Taken
SaintMartin,Not Taken
SaintPierreandMiquelon,Not Taken
SaintVincentandtheGrenadines,Not Taken
Samoa,Not Taken
SanMarino,Not Taken
SaoTomeandPrincipe,Not Taken
SaudiArabia,Not Taken
Senegal,Not Taken
Serbia,Not Taken
Seychelles,Not Taken
SierraLeone,Not Taken
Singapore,Not Taken
SintMaarten,Not Taken
Slovakia,Not Taken
Slovenia,Not Taken
SolomonIslands,Not Taken
Somalia,Not Taken
SouthSudan,Not Taken
SvalbardandJanMayen,Not Taken
Tajikistan,Not Taken
TrinidadandTobago,Not Taken
Turkmenistan,Not Taken
TurksandCaicos,Not Taken
Tuvalu,Not Taken
Uganda,Not Taken
Ukraine,Not Taken
UnitedArabEmirates,Not Taken
UnitedKingdom,Not Taken
UnitedStates,Not Taken
Uruguay,Not Taken
Uzbekistan,Not Taken
Vanuatu,Not Taken
Venezuela,Not Taken
Vietnam,Not Taken
VirginIslands,Not Taken
WesternSahara,Not Taken
